"","variable","the_median","lower","upper"
"1","beta0",3.88110545169477,3.80548350992558,3.99503775758921
"2","nb_shape",6.90775527898214,6.90775527898214,6.90775527898214
"3","prop_i0",1.348612e-05,1.348612e-05,1.348612e-05
"4","reporting",0.0487686964097728,0.0448777438056233,0.0543318154985483
