"","date","level","name","classification","i_cases"
"89",2023-01-14,"Department","CONCEPCION","SOSPECHOSO",11
"90",2023-01-14,"Department","CONCEPCION","CONFIRMADO",1
"91",2023-01-14,"Department","CONCEPCION","PROBABLE",0
"92",2023-01-14,"Department","CONCEPCION","TOTAL",12
"93",2023-01-28,"Department","SAN PEDRO","SOSPECHOSO",16
"94",2023-01-28,"Department","SAN PEDRO","CONFIRMADO",2
"95",2023-01-28,"Department","SAN PEDRO","PROBABLE",0
"96",2023-01-28,"Department","SAN PEDRO","TOTAL",18
"97",2023-01-26,"Department","CENTRAL","SOSPECHOSO",393
"98",2023-01-26,"Department","CENTRAL","CONFIRMADO",469
"99",2023-01-26,"Department","CENTRAL","PROBABLE",2
"100",2023-01-26,"Department","CENTRAL","TOTAL",864
"101",2023-01-19,"Department","CENTRAL","SOSPECHOSO",283
"102",2023-01-19,"Department","CENTRAL","CONFIRMADO",430
"103",2023-01-19,"Department","CENTRAL","PROBABLE",0
"104",2023-01-19,"Department","CENTRAL","TOTAL",713
"105",2023-02-04,"Department","CENTRAL","SOSPECHOSO",520
"106",2023-02-04,"Department","CENTRAL","CONFIRMADO",413
"107",2023-02-04,"Department","CENTRAL","PROBABLE",0
"108",2023-02-04,"Department","CENTRAL","TOTAL",933
"109",2023-02-02,"Department","PARAGUARI","SOSPECHOSO",10
"110",2023-02-02,"Department","PARAGUARI","CONFIRMADO",15
"111",2023-02-02,"Department","PARAGUARI","PROBABLE",0
"112",2023-02-02,"Department","PARAGUARI","TOTAL",25
"113",2023-01-09,"Department","PTE HAYES","SOSPECHOSO",7
"114",2023-01-09,"Department","PTE HAYES","CONFIRMADO",11
"115",2023-01-09,"Department","PTE HAYES","PROBABLE",0
"116",2023-01-09,"Department","PTE HAYES","TOTAL",18
"117",2023-02-02,"Department","CENTRAL","SOSPECHOSO",496
"118",2023-02-02,"Department","CENTRAL","CONFIRMADO",391
"119",2023-02-02,"Department","CENTRAL","PROBABLE",0
"120",2023-02-02,"Department","CENTRAL","TOTAL",887
"121",2023-01-09,"Department","CENTRAL","SOSPECHOSO",298
